región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Tumbes,262.9105738675107,35.3055,306.89045,509.0932199999999,235.82369999999997,0,0,2024
Piura,31027.129806463712,1858.3685120546197,6103.003563855208,7470.177932962082,1385.0618640200644,0,0,2024
Lambayeque,25241.8366311639,383.87769999999995,1602.4635,2885.0078000000008,267.1634,0,0,2024
La Libertad,305189.10296292795,3019.765072,23386.349489999997,9279.828180299999,470.4645200000001,51.1945515,0,2024
Cajamarca,3438.308384112796,872.9143999999999,5710.1829,22242.532,232.62598999999997,0,0,2024
Amazonas,739.2085466699999,60.12101199999999,2026.0926104999999,9911.28987312,64.57019999999999,0,0,2024
Ancash,37406.83377511866,1476.8160342112003,1983.52944200278,8473.22926985289,213.49165782215354,13.80894385803846,0,2024
Lima,1072413.5399395518,760.2646599999999,95076.896675,23835.6579471,475.49328,103.11423,70.63409,2024
Ica,96390.9758071797,140.9868,17055.628225,5289.4903303848805,299.14561999999995,0,0,2024
Huánuco,1214.55372914402,1911.922421995175,8287.9129925,28592.894945400003,260.25512000000003,44.585474999999995,0,2024
Pasco,533.2720182108355,1376.3280869488763,1452.6193993654967,3880.3428140624897,13.51020172655,437.85560234798965,129.74100584628502,2024
Junín,9569.44677432933,3548.9452,6074.736749999999,7703.65934,43.4896,339.03090000000003,245.59515,2024
Huancavelica,913.4069790354879,1211.988,1367.586,2773.3397999999997,270.486,495.65520000000004,246.20049999999998,2024
Arequipa,162454.02352085273,1520.5018999999998,13346.929,5264.2674,96.5828,1216.3823,373.4091,2024
Moquegua,180.966245,78.4538009808,1345.2559421600001,751.677633715,15.455268714334702,142.26160002865004,66.18164464541555,2024
Tacna,18179.653542479307,215.67362,3143.330416666667,1039.8313400000002,91.43886666666666,284.172924,161.42228999999998,2024
Ayacucho,1029.8851383457556,1739.8635,3098.9568,12554.988000000003,293.401,751.0714,158.53879999999998,2024
Apurímac,696.7762205681327,762.5755999999999,2312.2257,3960.4089999999997,168.90019999999998,489.2559,275.10040000000004,2024
Cusco,3704.9126229036747,4042.661600000001,5978.902999999999,12046.272999999997,54.27409999999999,2615.3732999999993,626.2488999999999,2024
Puno,2508.22402270274,8455.182999999999,2637.7010000000005,22913.39,0,6025.683999999999,1608.755,2024
San Martín,37820.09928241369,59.932706344404004,3100.62757,5891.6084936387,0,0,0,2024
Loreto,24983.196964125345,36.062799999999996,1847.98875,1610.6162100000004,0.30936,0,0,2024
Ucayali,14537.951839501431,31.0897,987.5517500000001,2817.8300299999996,0,0,0,2024
Madre de Dios,8801.352250817006,25.750999999999998,1315.5332474999998,2293.1504289000004,0,0,0,2024
Tumbes,232.0550716993151,36.616,339.85999999999996,495.65680000000003,245.68,0,0,2023
Piura,30965.58199647492,1814.2130408935088,6027.886176796699,7445.871515098868,1350.8056408929185,0,0,2023
Lambayeque,25362.574165382262,397.16405,1562.3037399999998,2926.85258,275.605781,0,0,2023
La Libertad,305971.63496581285,2939.66886,21036.274815,8992.5857916,465.71014800000006,43.81430956568642,0,2023
Cajamarca,3494.907816824102,913.42691,5722.52199,22449.99942,239.55155900000005,0,0,2023
Amazonas,760.2049653484361,55.28710000000001,1850.9600850000002,9282.945687899999,60.24289999999999,0,0,2023
