región,year,specie,carne,poblacion,produccion,rendimiento
Tumbes,2024,ave,262.9105738675107,183726.0,93692.0,2.806107920031814
Piura,2024,ave,31027.129806463712,3987073.0,13984015.0,2.218756871456657
Lambayeque,2024,ave,25241.8366311639,2510903.0,11388007.0,2.216528005093908
La Libertad,2024,ave,305189.10296292795,25756805.0,138011041.0,2.2113383201353223
Cajamarca,2024,ave,3438.308384112796,899534.0,1551093.0,2.216700457799412
Amazonas,2024,ave,739.2085466699999,1532411.0,360533.0,2.0503233960479617
Ancash,2024,ave,37406.83377511866,2756581.0,16545165.0,2.2608920944001167
Lima,2024,ave,1072413.5399395518,95986273.0,472384881.0,2.2702113955642527
Ica,2024,ave,96390.9758071797,17289061.0,43164575.0,2.233103775414596
Huánuco,2024,ave,1214.55372914402,1750227.0,564447.0,2.151758248965306
Pasco,2024,ave,533.2720182108355,136729.0,243240.0,2.1923661456354933
Junín,2024,ave,9569.44677432933,2560292.0,4331426.0,2.2093060778380957
Huancavelica,2024,ave,913.406979035488,385113.0,430434.0,2.122062070218653
Arequipa,2024,ave,162454.02352085273,18305583.0,72903696.0,2.2283372874163154
Moquegua,2024,ave,180.966245,63294.0,82718.0,2.1877625049112943
Tacna,2024,ave,18179.653542479307,1190149.0,8199657.0,2.217123537104757
Ayacucho,2024,ave,1029.8851383457556,576207.0,461215.0,2.232982356275464
Apurímac,2024,ave,696.7762205681327,304190.0,319420.0,2.1813772525612416
Cusco,2024,ave,3704.912622903674,1204044.0,1663749.0,2.2268460467562483
Puno,2024,ave,2508.22402270274,1549260.0,1193047.0,2.102367378993638
San Martín,2024,ave,37820.09928241369,4907574.0,17093773.0,2.2125074036869465
Loreto,2024,ave,24983.196964125345,4195254.0,11299715.0,2.210958147576058
Ucayali,2024,ave,14537.951839501431,6230589.0,6539334.0,2.2231548393997143
Madre de Dios,2024,ave,8801.352250817006,497838.0,3953185.0,2.226395052600001
Tumbes,2023,ave,232.0550716993151,181330.0,91418.99607810784,2.538368191016325
