región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Tumbes,183726,9937,30138,20364,78919,0,0,2024
Piura,3987073,243119,178258,258181,323221,118,0,2024
Lambayeque,2510903,73114,70216,112932,104933,0,0,2024
La Libertad,25756805,368772,113846,234527,85406,7669,0,2024
Cajamarca,899534,483612,291070,662221,104655,1206,0,2024
Amazonas,1532411,28823,101595,405462,15675,0,0,2024
Ancash,2756581,671255,195378,307203,168104,11114,0,2024
LimaP,95986273,320363,505821,269830,160346,48722,17886,2024
Ica,17289061,29991,206409,56209,79929,0,0,2024
Huánuco,1750227,527045,402369,287557,101634,6932,3570,2024
Pasco,136729,682406,54128,117698,6402,132253,45686,2024
Junín,2560292,1751173,205337,343821,16063,124380,72513,2024
Huancavelica,385113,622856,156236,177820,187149,268724,130683,2024
Arequipa,18305583,200495,133853,215870,29379,487250,97639,2024
Moquegua,63294,48013,13189,23187,8299,145767,37812,2024
Tacna,1190149,35840,38937,18974,17006,79882,27860,2024
Ayacucho,576207,605887,120620,430462,134961,323317,79048,2024
Apurímac,304190,454520,137124,292266,104351,213451,73490,2024
Cusco,1204044,1392545,122046,443245,22168,677045,138750,2024
Puno,1549260,2695590,120010,746265,0,2017990,331970,2024
San Martín,4907574,9134,179557,216646,0,0,0,2024
Loreto,4195254,11274,84245,75963,227,0,0,2024
Ucayali,6230589,8195,46211,65346,194,0,0,2024
Madre de Dios,497838,4124,13075,60117,242,0,0,2024
Tumbes,181330,11437,27921,17720,94086,0,0,2023
Piura,3987073,243119,173258,268181,296221,105,0,2023
Lambayeque,2591887,71310,65400,109560,105365,0,0,2023
La Libertad,25521509,369947,103302,235167,84406,8015,0,2023
Cajamarca,889358,483579,291453,656258,105217,1193,0,2023
Amazonas,1529745,28499,98622,405051,15271,0,0,2023
Ancash,2627008,671820,185907,307203,168033,11119,0,2023
LimaP,92164669,321147,503561,268184,159255,46625,18780,2023
Ica,19902381,30121,195225,55524,80874,0,0,2023
Huánuco,1756819,527339,404816,285746,101647,6988,3479,2023
Pasco,139453,683544,53110,118477.5,6396,131076,44377,2023
Junín,2568571,1652072,204941,359952,17118,121987,74625,2023
Huancavelica,388342,623222,156101,178512,186954,269108,129490,2023
Arequipa,16948124,204621,119024,219346,31937,471885,87938,2023
Moquegua,60446,48070,13211,23201.5,8305,146156,38208,2023
Tacna,1189233,35869,38469,18651,17078,79091,28399,2023
Ayacucho,578129,635108,128976,421401,159445,267415,78579,2023
Apurímac,306580,454659,138421,293901.5,108213,213848,72271,2023
Cusco,1203466,1381440,122270,441440,18142,672042,138750,2023
Puno,1556940,2727605,118775,750570,0,2037185,357075,2023
San Martín,4755028,9161,189557,213905,0,0,0,2023
Loreto,4190254,11255,80560,79468,296,0,0,2023
Ucayali,6165923,8628,43606,73825,186,0,0,2023
Madre de Dios,488634,4860,8689,64923,220,0,0,2023
Tumbes,181885,9637,29764,19995,63751,0,0,2022
Piura,4946411,254704,187581,280558,317861,95,0,2022
Lambayeque,2267950,74798,68510,111810,104500,0,0,2022
La Libertad,25462693,361175,112435,233020,85926,7391,0,2022
Cajamarca,887311,478462,290457,654162,104167,1189,0,2022
Amazonas,1529300,28229,90502,390157,14827,0,0,2022
Ancash,2635008,671255,180786,307057,168174,11297,0,2022
LimaP,91713454,303526,501088,267366,163437,46890,19280,2022
Ica,17612888,28666,190521,52771,79847,0,0,2022
Huánuco,1754696,527045,403999,285746,101621,6675,3473,2022
Pasco,139821,682406,52973,117871,6407,131131,44477,2022
Junín,2568199,1579259,195420,338505,14570,108413,64363,2022
Huancavelica,388036,622856,155982,177190,187344,268891,129392,2022
Arequipa,18320000,202792,101411,220215,22203,478172,94914,2022
Moquegua,60244,48013,13175,22697,8300,143990,38357,2022
Tacna,1187788,35840,37996,18405,17091,77054,28401,2022
Ayacucho,575566,647200,128847,437940,170476,294675,78476,2022
