,especie/ producto,month,price,year
0,Ave,ene,7.047264070171436,2024
1,Ovino,ene,5.61398343744963,2024
2,Porcino,ene,7.233857205980845,2024
3,Vacuno,ene,5.848159715223739,2024
4,Caprino,ene,4.798561196050015,2024
5,Alpaca,ene,4.692714875396337,2024
6,Llama,ene,3.747450693539379,2024
7,Huevo gallina,ene,5.18706763206311,2024
8,Fibra alpaca,ene,14.93039893210863,2024
9,Fibra llama,ene,6.554988901777077,2024
10,Lana ovino,ene,7.011605076957704,2024
11,Ave,feb,7.059296518313275,2024
12,Ovino,feb,5.631596998499078,2024
13,Porcino,feb,7.2567083761696995,2024
14,Vacuno,feb,5.85672715550583,2024
15,Caprino,feb,4.825675905940072,2024
16,Alpaca,feb,4.748450323134981,2024
17,Llama,feb,3.8275032006338354,2024
18,Huevo gallina,feb,5.210454624260384,2024
19,Fibra alpaca,feb,14.826707353028965,2024
20,Fibra llama,feb,6.434929340858281,2024
21,Lana ovino,feb,6.814667740758862,2024
22,Ave,mar,7.095667264334756,2024
23,Ovino,mar,5.639205216011708,2024
24,Porcino,mar,7.280190728306726,2024
25,Vacuno,mar,5.874365219432128,2024
26,Caprino,mar,4.819926636355138,2024
27,Alpaca,mar,4.777757535479485,2024
28,Llama,mar,3.8566132271890203,2024
29,Huevo gallina,mar,5.220093485091926,2024
30,Fibra alpaca,mar,14.85238701627926,2024
31,Fibra llama,mar,6.529116637156806,2024
32,Lana ovino,mar,6.866789168687783,2024
33,Ave,abr,7.099790023014686,2024
34,Ovino,abr,5.661111857973027,2024
35,Porcino,abr,7.315829922460965,2024
36,Vacuno,abr,5.886076014089318,2024
37,Caprino,abr,4.824602336489329,2024
38,Alpaca,abr,4.822046173316906,2024
39,Llama,abr,3.903033270699929,2024
40,Huevo gallina,abr,5.228692264570082,2024
41,Fibra alpaca,abr,13.647168054397122,2024
42,Fibra llama,abr,6.030125460442236,2024
43,Lana ovino,abr,7.012499984890933,2024
44,Ave,may,7.108345047909596,2024
45,Ovino,may,5.665611759398065,2024
46,Porcino,may,7.31323705917149,2024
47,Vacuno,may,5.898961345214249,2024
48,Caprino,may,4.815951519731598,2024
49,Alpaca,may,4.809449844717881,2024
50,Llama,may,3.9063887101199892,2024
51,Huevo gallina,may,5.231422063200415,2024
52,Fibra alpaca,may,13.791153092212289,2024
53,Fibra llama,may,6.38452843423484,2024
54,Lana ovino,may,7.05204262102966,2024
55,Ave,jun,7.114189025591114,2024
56,Ovino,jun,5.671604077404574,2024
57,Porcino,jun,7.325568687055262,2024
58,Vacuno,jun,5.9180632043267725,2024
59,Caprino,jun,4.836061073146929,2024
60,Alpaca,jun,4.806702173547237,2024
61,Llama,jun,3.8865584501019548,2024
62,Huevo gallina,jun,5.23670839668378,2024
63,Fibra alpaca,jun,14.072384206070124,2024
64,Fibra llama,jun,6.760769720701823,2024
65,Lana ovino,jun,7.122609712943612,2024
66,Ave,jul,7.118220302177479,2024
67,Ovino,jul,5.676135400295612,2024
68,Porcino,jul,7.357320120876205,2024
69,Vacuno,jul,5.922180366392255,2024
70,Caprino,jul,4.83471630644868,2024
71,Alpaca,jul,4.806957142350378,2024
72,Llama,jul,3.8843946800409763,2024
73,Huevo gallina,jul,5.240810543466198,2024
74,Fibra alpaca,jul,14.751759824083118,2024
75,Fibra llama,jul,6.459161147902869,2024
76,Lana ovino,jul,6.860625339181734,2024
77,Ave,ago,7.124355614122168,2024
78,Ovino,ago,5.683095875735205,2024
79,Porcino,ago,7.370781767720653,2024
80,Vacuno,ago,5.936508691648789,2024
81,Caprino,ago,4.8461631527242535,2024
82,Alpaca,ago,4.806152880836561,2024
83,Llama,ago,3.878592565663493,2024
84,Huevo gallina,ago,5.246509557108358,2024
85,Fibra alpaca,ago,14.590593503751391,2024
86,Fibra llama,ago,0,2024
87,Lana ovino,ago,6.797608881509837,2024
88,Ave,set,7.13309473735843,2024
89,Ovino,set,5.676665486990309,2024
90,Porcino,set,7.370731932054298,2024
91,Vacuno,set,5.940393010526735,2024
92,Caprino,set,4.856905636817791,2024
93,Alpaca,set,4.796713727234084,2024
94,Llama,set,3.8794650586125834,2024
95,Huevo gallina,set,5.2498956316459156,2024
96,Fibra alpaca,set,14.044836497014435,2024
97,Fibra llama,set,6.949558384727544,2024
98,Lana ovino,set,6.740925037082932,2024
99,Ave,oct,7.137493637101657,2024
100,Ovino,oct,5.670362617954262,2024
101,Porcino,oct,7.3689427584801965,2024
102,Vacuno,oct,5.947897829532863,2024
103,Caprino,oct,4.855479103286818,2024
104,Alpaca,oct,4.779746861161833,2024
105,Llama,oct,3.850072491983385,2024
106,Huevo gallina,oct,5.254866364030114,2024
107,Fibra alpaca,oct,14.336370790681459,2024
108,Fibra llama,oct,6.971832884611858,2024
109,Lana ovino,oct,6.81705894813813,2024
110,Ave,nov,7.141008951560483,2024
111,Ovino,nov,5.667817742225756,2024
112,Porcino,nov,7.378362730374674,2024
113,Vacuno,nov,5.946119079384279,2024
114,Caprino,nov,4.857287760234929,2024
115,Alpaca,nov,4.7741180508641055,2024
116,Llama,nov,3.838313849438397,2024
117,Huevo gallina,nov,5.2605656753881185,2024
118,Fibra alpaca,nov,14.782667739895011,2024
119,Fibra llama,nov,6.64422713889642,2024
120,Lana ovino,nov,6.817884350222689,2024
121,Ave,dic,7.1466931159245135,2024
122,Ovino,dic,5.671104748091768,2024
123,Porcino,dic,7.421883004333377,2024
124,Vacuno,dic,5.937880311624508,2024
125,Caprino,dic,4.861284380286868,2024
126,Alpaca,dic,4.728066396270768,2024
127,Llama,dic,3.829522328738873,2024
