región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Tumbes,93692,2978,5560,3641,21954,0,0,2024
Piura,13984015,114971,116025,50691,97958,0,0,2024
Lambayeque,11388007,24880,30744,20276,17957,0,0,2024
La Libertad,138011041,221021,386387,64178,35659,1649,0,2024
Cajamarca,1551093,74335,136492,167972,21386,0,0,2024
Amazonas,360533,3752,38532,67815,5132,0,0,2024
Ancash,16545165,135246,61258,60566,21885,578,0,2024
Lima,472384881,63970,1520451,123024,39384,3513,2175,2024
Ica,43164575,12625,405041,40371,21374,0,0,2024
Huánuco,564447,174789,231783,173113,27535,1788,0,2024
Pasco,243240,116592,39436,24126,1235,18555,4273,2024
Junín,4331426,303797,128833,59597,4172,15345,9372,2024
Huancavelica,430434,97429,36574,22400,19294,19399,7363,2024
Arequipa,72903696,105611,237857,31523,8197,49512,10787,2024
Moquegua,82718,3804,28766,3936,1040,5252,2130,2024
Tacna,8199657,8737,71337,5500,6008,10169,5447,2024
Ayacucho,461215,142794,68090,97622,23826,29343,5888,2024
Apurímac,319420,68602,54058,34254,14110,19385,8940,2024
Cusco,1663749,312820,149255,77528,4697,95196,19736,2024
Puno,1193047,588240,76055,155930,0,211510,39555,2024
San Martín,17093773,5153,79658,49926,0,0,0,2024
Loreto,11299715,2435,43129,10706,0,0,0,2024
Ucayali,6539334,2700,24206,21848,0,0,0,2024
Madre de Dios,3953185,1456,21388,14056,0,0,0,2024
Tumbes,91418.99607810783,3168,5883,3530,24128,0,0,2023
Piura,13887144.5286459,110566.75413190268,114622.67702024401,48982.012505417544,93179.23667802781,0,0,2023
Lambayeque,11401955.784329852,24140,29125,20075.4,19240,0,0,2023
La Libertad,137725806.66113016,215320,354779,62771,35316,1403,0,2023
Cajamarca,1594438.1007579518,78516,139710.1,166375,21746.7,0,0,2023
Amazonas,357854.2763652968,3480,35262,63582,4775,0,0,2023
Ancash,16615562.742274415,134036,60603,62939,20958,523,0,2023
Lima,436971133.3607748,56794,1474086.3,110685,36612,3449,2120,2023
Ica,43644691.363927476,12129,325151,35150,22475,0,0,2023
Huánuco,583119.7591032184,161862,203305,159996,24868,1643,0,2023
Pasco,249313.67103800038,112278,38740,23371,1160,18075,4437,2023
Junín,4421884.130236473,304399,127223,58979,3855,14741,9188,2023
Huancavelica,439667.6414537573,97296.77,34887,23777,19096,20113.79,7834,2023
Arequipa,70966379.25968105,128397,218204,33219,10081,48628,13353,2023
Moquegua,87262.74923361128,3626,27989,3695,966,4933,1905,2023
Tacna,8297117.163241193,8681,70781,5396,5960,9574,5408,2023
Ayacucho,471428.0363139547,142224,67426,98128,24656,29405,5640,2023
Apurímac,336504.2153149912,69627,55581.7,35287.04,15736.470000000001,20385.29,10090,2023
Cusco,1689771.5803980432,309247,148458,77093,4158,96769,20280,2023
Puno,1239060.14308882,607205,76790,156710,0,213605,39945,2023
San Martín,16607362.38297871,5181,77484,51424,0,0,0,2023
Loreto,11458804.12904137,2195,47114,10379,29.1256,0,0,2023
Ucayali,6526571.999664369,2564,20397,21472,0,0,0,2023
Madre de Dios,4089963.728583373,1637,21406,11649,0,0,0,2023
Tumbes,94257.6,2156,5942,3329,18318,0,0,2022
Piura,14666979,112641.2,114661.9,47003.9,96548.2,0,0,2022
Lambayeque,12038949.6,26248,30240,20895,17887,0,0,2022
La Libertad,143372459.9,210806,346595,63890,34765,1322.9,0,2022
Cajamarca,1684121,84819,142637,179786,24415,0,0,2022
Amazonas,373998,3395,32121,56392,4582,0,0,2022
Ancash,17448956.2,132582,61807,62463,20332,479,0,2022
Lima,432052927.9,54211,1241576.5,109623.8,35626,2849,1963,2022
Ica,44320106.4,13345,280296,21179,23441,0,0,2022
Huánuco,614189.9,158066,211891,151838,24833,1665,0,2022
Pasco,264768.5,112599,38987,23734,1038,17941,4193,2022
Junín,4720597.1,300729,122779,59365,4040,14265,8850,2022
Huancavelica,459984.9,104760,35892.3,25999.6,21540.4,19986,8444,2022
Arequipa,77959808.1,136204,214046,32484,10885,45975,12838,2022
Moquegua,91235.3,3448,26968,3570,847,4667,1689,2022
Tacna,8603163.8,8504,70732,5276,5850,8763,5134,2022
Ayacucho,492296.3,141460,61979.8,93214,25058,33353.1,5586,2022
Apurímac,367079.2,70337.4,60118.1,37934.8,16083,20060,10042.3,2022
Cusco,1767781.5,304422,128736,76083,4175,95074,20037,2022
Puno,1277709.9,600435,77210,148880,0,209810,39465,2022
San Martín,17838694.7,5176,74443,52158,0,0,0,2022
Loreto,11879965.9,2278,44014,9982,30.1,0,0,2022
Ucayali,6931980,2493,15032,17518,0,0,0,2022
Madre de Dios,4273888.4,1610,19687,13622,0,0,0,2022
Tumbes,97536.99724956288,2324,6016,3668,18005,0,0,2021
Piura,14581622.097259056,110536.07461298,116132.96516227201,47401.1251553862,91624.2511753779,0,0,2021
Lambayeque,11658327.643096533,27955.247600000002,29327.577072,20429.627399999998,20843.36,0,0,2021
La Libertad,137652736.38500825,196709,337947,60986,37305,1412,0,2021
Cajamarca,1734004.9334469102,83113.3,138143.4,184568.4,23407,0,0,2021
Amazonas,380125.9812290415,3190,28738,50960,4290,0,0,2021
Ancash,16434268.445738623,131663,60397,62644,20114,433,0,2021
Lima,415539953.52395743,57729,1182774,109767,35830,3031,2126,2021
Ica,43909224.00680211,13489,246350,20410,23824.424181360202,0,0,2021
Huánuco,612642.6155994651,154407,211032,150369,24055,1641,0,2021
Pasco,280390.21024938335,110795,38656,23722,1037,17614,4122,2021
Junín,4829246.256155073,288554,116573,55007,3716,12866,8361,2021
Huancavelica,474946.05059714086,99893.2,40870.4,27973.27,22844.3,20305,8199.3,2021
Arequipa,74273035.20237797,140569,205510,30478,10325,43535,12612,2021
Moquegua,93207.54554383556,3361,25858,3579,847,4395,1665,2021
