región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Tumbes,2.8061079200318146,11.855439892545334,55.19612410071942,139.82236198846468,10.74171904892047,0,0,2024
Piura,2.2187568714566575,16.163871764285958,52.60088517699053,147.3669474455442,14.139319385001274,0,0,2024
Lambayeque,2.2165280050939073,15.429168006430867,52.12280444964872,142.28683172223322,14.877952887453363,0,0,2024
La Libertad,2.2113383201353223,13.662797073581244,60.52571512499125,144.59516002835863,13.193429989623942,31.045816555488177,0,2024
Cajamarca,2.2167004577994116,11.742979753817178,41.83529364358351,132.41809349177245,10.877489479098475,0,0,2024
Amazonas,2.0503233960479617,16.02372388059701,52.582077507007156,146.15188193054635,12.581878409976614,0,0,2024
Ancash,2.2608920944001167,10.91948929471373,32.3797183241246,139.90157387146215,9.75525528349726,23.871595766076197,0,2024
Lima,2.2702113955642527,11.884706268563388,62.53203600444868,193.74738677551878,12.073260207190737,29.352186165670368,32.47544367816092,2024
Ica,2.233103775414596,11.167271287128713,42.108399458326446,131.02202894119245,13.99577149808178,0,0,2024
Huánuco,2.151758248965306,10.938459639881085,35.75720821846296,165.16896446482934,9.451792990739062,24.935947986577176,0,2024
Pasco,2.1923661456354933,11.804648675056988,36.834981327038776,160.83655865300878,10.935722218783704,23.597367952936825,30.36297819945823,2024
Junín,2.2093060778380953,11.681962626359049,47.15202432606552,129.2625356981056,10.424161073825504,22.093900293255135,26.205201664532648,2024
Huancavelica,2.1220620702186532,12.439704810682652,37.39230054136818,123.80981249999999,14.019176946200892,25.550554152275893,33.43752546516365,2024
Arequipa,2.2283372874163154,14.397192527293555,56.1132487166659,166.9976651968404,11.782700988166402,24.567424058814023,34.61658477797349,2024
Moquegua,2.1877625049112943,20.625111789738952,46.76622166415214,190.95144729292804,14.862318372578011,27.084826598319683,31.067142998558737,2024
Tacna,2.2171235371047575,24.68508870321621,44.06311474643827,189.06024363636368,15.219518419884597,27.94502153604091,29.63508169634661,2024
Ayacucho,2.232982356275464,12.184430018067985,45.51265677779409,128.60818258179512,12.314320490220767,25.59627168319531,26.925747282608693,2024
Apurímac,2.1813772525612416,11.115938310836418,42.77305301712975,115.61887662754714,11.970248051027639,25.238890895021925,30.771856823266223,2024
Cusco,2.2268460467562483,12.923283677514227,40.05830960436836,155.37964348364457,11.555056418990842,27.47356296483045,31.73129813538711,2024
Puno,2.102367378993638,14.373696110431116,34.68149365590691,146.94664272429935,0,28.488884686303248,40.671343698647455,2024
